,a_saddr,b_saddr,a_saddr_asn,a_saddr_asorg,a_saddr_lat,a_saddr_long,b_saddr_asn,b_saddr_asorg,b_saddr_lat,b_saddr_long,count
216,2391207502,1654599250,855,Bell Canada,47.483000000000004,-52.8415,395766,CloudPBX,40.7432,-75.2242,4
217,2393068192,1654599251,855,Bell Canada,47.5986,-52.6926,395766,CloudPBX,40.7432,-75.2242,2
218,1654599251,1599332522,395766,CloudPBX,40.7432,-75.2242,13280,Three Ireland (Hutchison) limited,53.3331,-6.2489,9
219,1282584635,1654599250,7922,"Comcast Cable Communications, LLC",39.2575,-76.4951,395766,CloudPBX,40.7432,-75.2242,45
220,410720570,1654599250,33363,"BRIGHT HOUSE NETWORKS, LLC",39.895,-86.1804,395766,CloudPBX,40.7432,-75.2242,13
221,1282584635,1654599251,7922,"Comcast Cable Communications, LLC",39.2575,-76.4951,395766,CloudPBX,40.7432,-75.2242,44
222,3480447026,1654599250,11478,Openface Inc.,45.4805,-73.5554,395766,CloudPBX,40.7432,-75.2242,71
223,1210505719,1654599251,7992,Cogeco Cable,42.9578,-82.2777,395766,CloudPBX,40.7432,-75.2242,2
224,1210498534,1654599250,7992,Cogeco Cable,42.8833,-82.15,395766,CloudPBX,40.7432,-75.2242,255
225,1654599250,409640138,395766,CloudPBX,40.7432,-75.2242,33363,"BRIGHT HOUSE NETWORKS, LLC",40.4894,-85.5977,8
