,a_saddr,b_saddr,a_saddr_asn,a_saddr_asorg,a_saddr_lat,a_saddr_long,b_saddr_asn,b_saddr_asorg,b_saddr_lat,b_saddr_long,count
196,3227975250,1090360938,395152,CloudPBX,43.6319,-79.3716,19171,Stargate Connections Inc.,49.1707,-122.7326,692
197,1653562909,3227975251,19171,Stargate Connections Inc.,49.316,-123.0576,395152,CloudPBX,43.6319,-79.3716,313
198,3497430254,3227975250,19171,Stargate Connections Inc.,49.2788,-123.1139,395152,CloudPBX,43.6319,-79.3716,1044
199,3227975250,3091631882,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,49.2788,-123.1139,364
200,3227975250,1210508163,395152,CloudPBX,43.6319,-79.3716,7992,Cogeco Cable,42.9888,-82.3592,32
201,1653559798,3227975251,19171,Stargate Connections Inc.,49.2478,-122.9938,395152,CloudPBX,43.6319,-79.3716,261
202,3227975251,1614103491,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,49.0787,-121.6098,146
203,3227975250,3350650146,395152,CloudPBX,43.6319,-79.3716,19171,Stargate Connections Inc.,49.2478,-122.9938,1149
204,1674006569,3227975251,852,TELUS Communications Inc.,49.3397,-123.1912,395152,CloudPBX,43.6319,-79.3716,110
205,1806931219,3227975251,5645,"TekSavvy Solutions, Inc.",43.6784,-79.2941,395152,CloudPBX,43.6319,-79.3716,13
206,3227975251,3478222275,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,49.2795,-123.0667,58
207,3227975250,1614103491,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,49.0787,-121.6098,132
208,3227975250,1090360462,395152,CloudPBX,43.6319,-79.3716,19171,Stargate Connections Inc.,49.2866,-123.1158,724
209,2919739481,3227975250,6327,Shaw Communications Inc.,49.2833,-123.1298,395152,CloudPBX,43.6319,-79.3716,435
210,3091581862,3227975250,6327,Shaw Communications Inc.,52.3834,-113.7853,395152,CloudPBX,43.6319,-79.3716,97
211,2919331100,3227975251,6327,Shaw Communications Inc.,49.1661,-122.5792,395152,CloudPBX,43.6319,-79.3716,98
212,3227975251,3497430254,395152,CloudPBX,43.6319,-79.3716,19171,Stargate Connections Inc.,49.2788,-123.1139,922
213,3227975251,2919736882,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,49.299,-123.1408,214
214,1090360938,3227975250,19171,Stargate Connections Inc.,49.1707,-122.7326,395152,CloudPBX,43.6319,-79.3716,733
215,1090360938,3227975251,19171,Stargate Connections Inc.,49.1707,-122.7326,395152,CloudPBX,43.6319,-79.3716,664
216,3227975251,1178711303,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,49.6511,-112.8351,63
217,3227975250,3091587566,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,53.5333,-113.9167,154
218,3497430155,3227975250,19171,Stargate Connections Inc.,49.2788,-123.1139,395152,CloudPBX,43.6319,-79.3716,289
219,1653562909,3227975250,19171,Stargate Connections Inc.,49.316,-123.0576,395152,CloudPBX,43.6319,-79.3716,339
220,3227975250,3091427666,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,49.2167,-122.9167,107
221,3227975251,3512272902,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,53.7168,-113.2187,195
222,1179163944,3227975250,6327,Shaw Communications Inc.,50.9819,-114.1004,395152,CloudPBX,43.6319,-79.3716,3
223,1823230797,3227975251,852,TELUS Communications Inc.,49.0331,-123.0877,395152,CloudPBX,43.6319,-79.3716,59
224,3227975250,1178607163,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,52.0961,-106.6252,73
225,3227975251,3478238498,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,49.25,-123.1333,232
