,a_saddr_asn,a_saddr_asorg,a_saddr_lat,a_saddr_long,b_saddr_asn,b_saddr_asorg,b_saddr_lat,b_saddr_long
1055811,395152,CloudPBX,43.6319,-79.3716,7018,"AT&T Services, Inc.",37.751,-97.822
1055878,395152,CloudPBX,43.6319,-79.3716,7922,"Comcast Cable Communications, LLC",38.9057,-76.9783
1055895,395152,CloudPBX,43.6319,-79.3716,5769,Videotron Telecom Ltee,45.5055,-73.8789
1056177,395152,CloudPBX,43.6319,-79.3716,7018,"AT&T Services, Inc.",39.8512,-86.2651
1056194,395152,CloudPBX,43.6319,-79.3716,577,Bell Canada,44.4001,-79.6663
1056346,395152,CloudPBX,43.6319,-79.3716,7922,"Comcast Cable Communications, LLC",39.2575,-76.4951
1056485,395152,CloudPBX,43.6319,-79.3716,40788,Start Communications,43.6655,-79.4378
1056898,395152,CloudPBX,43.6319,-79.3716,812,Rogers Communications Canada Inc.,43.7223,-79.4504
1056903,395152,CloudPBX,43.6319,-79.3716,40788,Start Communications,43.8404,-79.0251
1057052,395152,CloudPBX,43.6319,-79.3716,812,Rogers Communications Canada Inc.,44.3572,-79.6929
1057261,395152,CloudPBX,43.6319,-79.3716,812,Rogers Communications Canada Inc.,43.8582,-79.3985
1057575,395152,CloudPBX,43.6319,-79.3716,7794,Execulink Telecom Inc.,42.9856,-81.1821
1058446,395152,CloudPBX,43.6319,-79.3716,33363,"BRIGHT HOUSE NETWORKS, LLC",39.7851,-86.1665
1058676,395152,CloudPBX,43.6319,-79.3716,5769,Videotron Telecom Ltee,45.5528,-73.6411
1058950,395152,CloudPBX,43.6319,-79.3716,7922,"Comcast Cable Communications, LLC",42.2639,-88.8443
1059118,395152,CloudPBX,43.6319,-79.3716,7992,Cogeco Cable,42.2949,-83.052
1059339,395152,CloudPBX,43.6319,-79.3716,33363,"BRIGHT HOUSE NETWORKS, LLC",40.5099,-85.6264
1059423,395152,CloudPBX,43.6319,-79.3716,812,Rogers Communications Canada Inc.,43.8177,-79.2819
1059445,395152,CloudPBX,43.6319,-79.3716,577,Bell Canada,43.6319,-79.3716
1059728,395152,CloudPBX,43.6319,-79.3716,15128,Comwave Telecom Inc.,43.8432,-79.5644
1060715,395152,CloudPBX,43.6319,-79.3716,40788,Start Communications,43.0233,-81.1643
