,a_saddr,b_saddr,a_saddr_asn,a_saddr_asorg,a_saddr_as_ip,a_saddr_lat,a_saddr_long,b_saddr_asn,b_saddr_asorg,b_saddr_as_ip,b_saddr_lat,b_saddr_long
15370,1632558126,1654599251,33363,"BRIGHT HOUSE NETWORKS, LLC",97.78.220.46,40.5099,-85.6264,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
15463,2913448341,1654599251,7922,"Comcast Cable Communications, LLC",173.167.177.149,41.8811,-87.8786,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
15696,2393314888,1654599250,855,Bell Canada,142.167.22.72,47.5194,-52.8122,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
15760,2913448341,1654599250,7922,"Comcast Cable Communications, LLC",173.167.177.149,41.8811,-87.8786,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
16195,2913448637,1654599250,7922,"Comcast Cable Communications, LLC",173.167.178.189,37.751,-97.822,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
16358,1654599251,3480447027,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,11478,Openface Inc.,207.115.104.51,45.4805,-73.5554
16382,1616866354,1654599251,7922,"Comcast Cable Communications, LLC",96.95.108.50,41.8876,-87.6368,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
16588,1749006169,1654599251,7018,"AT&T Services, Inc.",104.63.183.89,39.9738,-86.1765,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
16980,1654599251,215430723,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,7018,"AT&T Services, Inc.",12.215.54.67,37.751,-97.822
17344,1210458660,1654599251,7992,Cogeco Cable,72.38.34.36,42.9062,-82.11,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
17361,1654599250,3480447026,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,11478,Openface Inc.,207.115.104.50,45.4805,-73.5554
17554,851532189,1654599250,7922,"Comcast Cable Communications, LLC",50.193.89.157,42.2639,-88.8443,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
17762,2913448637,1654599251,7922,"Comcast Cable Communications, LLC",173.167.178.189,37.751,-97.822,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
17775,855009785,1654599251,7922,"Comcast Cable Communications, LLC",50.246.105.249,38.9057,-76.9783,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
17913,2393257102,1654599250,855,Bell Canada,142.166.52.142,47.5334,-52.7595,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
17983,855009785,1654599250,7922,"Comcast Cable Communications, LLC",50.246.105.249,38.9057,-76.9783,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
18736,855405977,1654599251,7922,"Comcast Cable Communications, LLC",50.252.117.153,41.7195,-86.2064,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
18903,1654599251,2393257380,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,855,Bell Canada,142.166.53.164,47.5334,-52.7595
19126,1654599250,2730633589,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,7018,"AT&T Services, Inc.",162.194.41.117,39.8512,-86.2651
19133,2393257102,1654599251,855,Bell Canada,142.166.52.142,47.5334,-52.7595,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
19183,1654599251,1668866301,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,7018,"AT&T Services, Inc.",99.120.224.253,42.5038,-83.4764
19559,851532189,1654599251,7922,"Comcast Cable Communications, LLC",50.193.89.157,42.2639,-88.8443,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
19712,1229012093,1654599250,7922,"Comcast Cable Communications, LLC",73.65.60.125,44.9198,-93.4832,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
19713,1654599250,215430723,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,7018,"AT&T Services, Inc.",12.215.54.67,37.751,-97.822
19760,1676003536,1654599251,812,Rogers Communications Canada Inc.,99.229.200.208,43.6572,-79.3783,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
21039,1654599250,1675902784,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,812,Rogers Communications Canada Inc.,99.228.63.64,43.8582,-79.3985
21099,2913301853,1654599251,7922,"Comcast Cable Communications, LLC",173.165.117.93,37.751,-97.822,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
21118,1179661323,1654599251,5769,Videotron Telecom Ltee,70.80.52.11,45.5354,-73.6061,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
21653,1745054491,1654599250,7018,"AT&T Services, Inc.",104.3.107.27,39.7132,-86.2617,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
22057,1676003536,1654599250,812,Rogers Communications Canada Inc.,99.229.200.208,43.6572,-79.3783,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
22241,1654599250,3638379076,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,7992,Cogeco Cable,216.221.66.68,42.9888,-82.3592
23801,1654599251,1675902784,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,812,Rogers Communications Canada Inc.,99.228.63.64,43.8582,-79.3985
23805,1654599251,1616866354,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,7922,"Comcast Cable Communications, LLC",96.95.108.50,41.8876,-87.6368
24332,1654599251,3640363090,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,14007,Skyway West,216.251.136.82,49.2788,-123.1139
24489,1654599251,1229012093,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,7922,"Comcast Cable Communications, LLC",73.65.60.125,44.9198,-93.4832
24662,2904575889,1654599250,812,Rogers Communications Canada Inc.,173.32.79.145,47.5986,-52.6926,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
24809,2904575889,1654599251,812,Rogers Communications Canada Inc.,173.32.79.145,47.5986,-52.6926,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
25072,1654599251,855010549,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,7922,"Comcast Cable Communications, LLC",50.246.108.245,38.9057,-76.9783
25073,855187221,1654599251,7922,"Comcast Cable Communications, LLC",50.249.31.21,39.3656,-76.6199,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
25201,1654599250,1676003536,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,812,Rogers Communications Canada Inc.,99.229.200.208,43.6572,-79.3783
25677,2914149279,1654599251,5769,Videotron Telecom Ltee,173.178.99.159,45.504,-73.5747,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
25914,2393257380,1654599251,855,Bell Canada,142.166.53.164,47.5334,-52.7595,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
26874,1632558126,1654599250,33363,"BRIGHT HOUSE NETWORKS, LLC",97.78.220.46,40.5099,-85.6264,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
27158,2926711620,1654599251,812,Rogers Communications Canada Inc.,174.114.19.68,47.5334,-52.7595,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
27198,1654599251,2393314965,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,855,Bell Canada,142.167.22.149,47.5194,-52.8122
27845,1654599250,405133426,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,5769,Videotron Telecom Ltee,24.37.216.114,45.5394,-73.6513
27847,405133426,1654599250,5769,Videotron Telecom Ltee,24.37.216.114,45.5394,-73.6513,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
29468,1654599251,405133426,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,5769,Videotron Telecom Ltee,24.37.216.114,45.5394,-73.6513
29841,1616866353,1654599251,7922,"Comcast Cable Communications, LLC",96.95.108.49,41.8876,-87.6368,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
