,a_saddr_asn,a_saddr_asorg,a_saddr_lat,a_saddr_long,b_saddr_asn,b_saddr_asorg,b_saddr_lat,b_saddr_long
971470,395766,CloudPBX,40.7432,-75.2242,6327,Shaw Communications Inc.,49.1661,-122.5792
971570,852,TELUS Communications Inc.,48.4267,-123.3655,395766,CloudPBX,40.7432,-75.2242
971781,395766,CloudPBX,40.7432,-75.2242,6327,Shaw Communications Inc.,49.1889,-122.873
971949,6327,Shaw Communications Inc.,53.5333,-113.9167,395766,CloudPBX,40.7432,-75.2242
972100,395766,CloudPBX,40.7432,-75.2242,6327,Shaw Communications Inc.,49.2167,-122.9167
972124,15102,WiBand Communications,53.4179,-113.5785,395766,CloudPBX,40.7432,-75.2242
972162,6327,Shaw Communications Inc.,49.3167,-122.7384,395766,CloudPBX,40.7432,-75.2242
972470,16509,"Amazon.com, Inc.",45.8696,-119.688,395766,CloudPBX,40.7432,-75.2242
972605,395766,CloudPBX,40.7432,-75.2242,852,TELUS Communications Inc.,49.2436,-122.7865
972738,19171,Stargate Connections Inc.,49.2788,-123.1139,395766,CloudPBX,40.7432,-75.2242
972760,852,TELUS Communications Inc.,49.2667,-122.7833,395766,CloudPBX,40.7432,-75.2242
972820,395766,CloudPBX,40.7432,-75.2242,6171,WorldGate,53.4154,-113.4178
972876,852,TELUS Communications Inc.,49.25,-123.1333,395766,CloudPBX,40.7432,-75.2242
972912,852,TELUS Communications Inc.,49.2436,-122.7865,395766,CloudPBX,40.7432,-75.2242
978198,577,Bell Canada,47.3507,-71.202,395766,CloudPBX,40.7432,-75.2242
983905,812,Rogers Communications Canada Inc.,43.5924,-79.7611,395766,CloudPBX,40.7432,-75.2242
989162,395766,CloudPBX,40.7432,-75.2242,7018,"AT&T Services, Inc.",39.7838,-86.0477
989576,20115,Charter Communications,43.3208,-88.0314,395766,CloudPBX,40.7432,-75.2242
996232,13977,"FAIRPOINT COMMUNICATIONS, INC.",43.6948,-70.2905,395766,CloudPBX,40.7432,-75.2242
1005390,15128,Comwave Telecom Inc.,43.8432,-79.5644,395766,CloudPBX,40.7432,-75.2242
1009302,395766,CloudPBX,40.7432,-75.2242,577,Bell Canada,43.9251,-78.8287
