,,a_saddr,b_saddr,a_saddr_asn,a_saddr_asorg,b_saddr_asn,b_saddr_asorg
74136038,2018-04-11,3227975507,405978301,393755,CloudPBX,40788,Start Communications
65896319,2018-01-19,3227975506,405978381,393755,CloudPBX,40788,Start Communications
65898995,2018-01-19,3227975507,405978381,393755,CloudPBX,40788,Start Communications
66099971,2018-01-23,3227975251,405978381,395152,CloudPBX,40788,Start Communications
66113763,2018-01-23,1654599251,405978381,395766,CloudPBX,40788,Start Communications
66115084,2018-01-23,1654599250,405978381,395766,CloudPBX,40788,Start Communications
66118647,2018-01-23,3227975250,405978381,395152,CloudPBX,40788,Start Communications
75707052,2018-04-26,3227975507,405978519,393755,CloudPBX,40788,Start Communications
75714674,2018-04-26,3227975506,405978519,393755,CloudPBX,40788,Start Communications
75431633,2018-04-24,3227975507,405978584,393755,CloudPBX,40788,Start Communications
75594270,2018-04-25,3227975506,405978584,393755,CloudPBX,40788,Start Communications
78156828,2018-05-23,3227975251,405978584,395152,CloudPBX,40788,Start Communications
78180661,2018-05-23,1654599250,405978584,395766,CloudPBX,40788,Start Communications
68313442,2018-02-15,3227975506,405978944,393755,CloudPBX,40788,Start Communications
68315858,2018-02-15,3227975507,405978944,393755,CloudPBX,40788,Start Communications
77421747,2018-05-12,3227975506,405978963,393755,CloudPBX,40788,Start Communications
77424093,2018-05-12,3227975507,405978963,393755,CloudPBX,40788,Start Communications
78122615,2018-05-23,1654599251,405978963,395766,CloudPBX,40788,Start Communications
78122770,2018-05-23,1654599250,405978963,395766,CloudPBX,40788,Start Communications
78133087,2018-05-23,3227975251,405978963,395152,CloudPBX,40788,Start Communications
78133490,2018-05-23,3227975250,405978963,395152,CloudPBX,40788,Start Communications
64931386,2018-01-08,3227975507,405979134,393755,CloudPBX,40788,Start Communications
65067363,2018-01-09,3227975506,405979134,393755,CloudPBX,40788,Start Communications
66131254,2018-01-23,3227975251,405979134,395152,CloudPBX,40788,Start Communications
64805466,2018-01-05,3227975507,406152586,393755,CloudPBX,40788,Start Communications
72224366,2018-03-22,3227975507,406152627,393755,CloudPBX,40788,Start Communications
78351156,2018-05-25,3227975506,406152627,393755,CloudPBX,40788,Start Communications
70454909,2018-03-07,3227975506,406213497,393755,CloudPBX,40788,Start Communications
70623511,2018-03-08,3227975507,406214586,393755,CloudPBX,40788,Start Communications
68002452,2018-02-12,3227975506,406391121,393755,CloudPBX,7992,Cogeco Cable
69330276,2018-02-26,3227975507,406393939,393755,CloudPBX,7992,Cogeco Cable
78069015,2018-05-22,3227975506,406409065,393755,CloudPBX,7992,Cogeco Cable
74097077,2018-04-10,3227975506,406410401,393755,CloudPBX,7992,Cogeco Cable
66673466,2018-01-30,3227975506,406420199,393755,CloudPBX,7992,Cogeco Cable
74576700,2018-04-16,3227975507,406428973,393755,CloudPBX,7992,Cogeco Cable
68036596,2018-02-13,3227975507,406431600,393755,CloudPBX,7992,Cogeco Cable
77595592,2018-05-14,3227975507,406432109,393755,CloudPBX,7992,Cogeco Cable
73225940,2018-04-02,3227975507,406447374,393755,CloudPBX,7992,Cogeco Cable
66410786,2018-01-26,3227975507,406448690,393755,CloudPBX,7992,Cogeco Cable
65062548,2018-01-09,3227975250,407051730,395152,CloudPBX,6327,Shaw Communications Inc.
