"MIN(calldate)","MAX(calldate)","INET_NTOA(sipcallerip)","COUNT(sipcallerip)"
"2018-05-07 11:18:09","2018-05-23 01:48:47","192.102.255.80",204
"2018-05-01 14:22:16","2018-05-31 18:26:06","192.102.255.80",200
"2018-05-01 16:27:29","2018-05-31 17:43:16","192.102.254.83",200
"2018-05-16 14:06:28","2018-05-31 19:10:01","192.102.255.83",198
"2018-05-02 13:14:37","2018-05-31 19:07:35","192.102.255.80",195
"2018-05-01 07:14:39","2018-05-31 19:11:20","192.102.255.83",195
"2018-05-01 13:39:00","2018-05-31 19:17:47","192.102.255.82",194
"2018-05-01 13:55:44","2018-05-31 15:52:54","192.102.255.80",194
"2018-05-01 13:17:45","2018-05-31 19:10:56","192.102.255.80",192
"2018-05-02 21:10:07","2018-05-28 00:37:45","192.102.254.82",191
"2018-05-01 12:51:28","2018-05-31 19:01:29","98.159.46.80",189
"2018-05-01 12:23:19","2018-05-31 17:23:52","98.159.46.82",187
"2018-05-14 18:23:27","2018-05-31 19:24:13","192.102.255.80",182
"2018-05-01 13:31:29","2018-05-07 20:47:36","192.102.255.80",180
"2018-05-01 13:19:52","2018-05-31 18:53:44","98.159.46.83",180
"2018-05-01 14:13:22","2018-05-04 20:43:54","192.102.255.80",178
"2018-05-01 13:28:31","2018-05-31 15:33:12","192.102.255.82",176
"2018-05-01 18:20:14","2018-05-30 00:15:33","192.102.254.82",175
"2018-05-01 13:37:22","2018-05-31 18:40:59","192.102.255.81",174
"2018-05-01 15:03:21","2018-05-09 15:44:21","192.102.254.83",172
"2018-05-01 13:19:17","2018-05-31 19:21:21","192.102.255.83",172
"2018-05-01 15:48:41","2018-05-31 19:26:53","98.159.46.80",172
"2018-05-01 16:54:49","2018-05-31 18:41:57","192.102.254.82",171
"2018-05-07 13:13:30","2018-05-22 20:36:27","192.102.255.83",168
"2018-05-01 15:24:41","2018-05-30 15:22:02","192.102.255.81",168
"2018-05-01 15:57:04","2018-05-31 18:25:46","192.102.254.82",166
"2018-05-08 14:29:51","2018-05-22 15:20:52","192.102.255.83",166
"2018-05-01 11:39:53","2018-05-31 17:43:44","192.102.255.82",165
"2018-05-08 17:25:42","2018-05-31 19:25:48","192.102.255.80",165
"2018-05-02 12:56:38","2018-05-31 19:16:20","192.102.255.82",165
"2018-05-06 01:40:02","2018-05-31 18:52:23","192.102.254.83",164
"2018-05-01 16:58:54","2018-05-29 16:45:52","192.102.255.81",164
"2018-05-07 12:56:01","2018-05-31 16:46:26","192.102.255.83",163
"2018-05-13 11:32:21","2018-05-31 17:45:48","192.102.255.82",160
"2018-05-01 16:23:10","2018-05-31 18:51:47","192.102.254.83",160
"2018-05-01 14:00:09","2018-05-31 17:45:40","192.102.255.82",159
"2018-05-01 16:02:20","2018-05-31 19:06:07","192.102.254.83",157
"2018-05-01 13:41:35","2018-05-31 18:44:43","192.102.254.82",156
"2018-05-01 20:12:48","2018-05-20 21:43:57","192.102.255.80",155
"2018-05-04 20:12:43","2018-05-13 06:02:19","192.102.255.80",154
"2018-05-01 11:34:56","2018-05-31 16:23:46","192.102.255.82",154
"2018-05-01 11:49:22","2018-05-31 17:30:10","192.102.255.83",153
"2018-05-01 15:00:38","2018-05-31 16:57:33","192.102.255.83",153
"2018-05-01 13:02:25","2018-05-04 19:21:09","192.102.255.80",151
"2018-05-07 13:54:00","2018-05-31 18:03:23","192.102.255.80",144
"2018-05-01 18:24:03","2018-05-31 17:41:57","192.102.255.83",144
"2018-05-01 18:24:25","2018-05-31 19:19:29","192.102.255.80",141
"2018-05-01 15:43:22","2018-05-30 23:55:53","192.102.254.83",141
"2018-05-04 16:05:56","2018-05-31 19:13:56","192.102.254.83",140
"2018-05-01 11:20:14","2018-05-31 18:59:03","192.102.255.83",140
"2018-05-01 12:43:15","2018-05-31 18:44:12","192.102.255.82",137
"2018-05-01 14:03:40","2018-05-04 18:46:20","192.102.255.80",136
"2018-05-01 14:05:54","2018-05-31 18:41:34","192.102.255.80",135
"2018-05-01 18:11:29","2018-05-31 19:24:57","192.102.254.82",133
"2018-05-01 12:47:04","2018-05-31 11:44:55","98.159.46.82",133
"2018-05-01 13:46:11","2018-05-31 11:26:52","192.102.255.82",131
"2018-05-01 15:34:36","2018-05-31 19:27:56","192.102.254.83",131
"2018-05-01 11:50:44","2018-05-31 18:02:03","98.159.46.80",129
"2018-05-07 13:33:34","2018-05-15 06:30:37","192.102.255.83",126
"2018-05-01 16:52:26","2018-05-31 18:27:07","192.102.254.82",125
"2018-05-01 09:48:27","2018-05-06 19:31:47","192.102.255.83",124
"2018-05-01 13:36:16","2018-05-06 17:00:22","192.102.255.80",124
"2018-05-01 14:23:22","2018-05-31 17:14:11","192.102.255.83",119
"2018-05-01 10:08:55","2018-05-04 20:22:29","192.102.255.82",118
"2018-05-07 12:08:40","2018-05-16 15:04:30","192.102.255.80",118
"2018-05-01 15:00:44","2018-05-31 19:05:34","192.102.255.82",117
"2018-05-07 11:48:28","2018-05-31 17:25:38","192.102.255.81",117
"2018-05-01 17:54:35","2018-05-31 17:23:12","192.102.255.82",116
