"calldate_first","calldate_last","INET_NTOA(sipcallerip)","calls_qty_per_ip","connect_duration_minutes"
"2018-01-02 17:34:59","2018-03-28 18:35:26","64.253.149.186",1047,3593.5000
"2018-01-02 15:52:37","2018-04-13 12:30:07","45.3.8.237",836,3552.4833
"2018-01-02 14:29:22","2018-05-31 18:43:06","64.140.118.112",2164,3545.1667
"2018-01-08 17:41:51","2018-05-30 22:58:10","24.87.167.22",516,3469.9000
"2018-01-01 00:09:50","2018-02-18 00:31:23","172.218.95.86",2874,3413.3000
"2018-04-03 12:34:03","2018-05-31 19:23:03","72.38.227.131",1165,3389.9333
"2018-01-02 19:18:30","2018-03-09 16:50:01","216.221.66.119",1816,3362.9667
"2018-01-02 16:21:14","2018-05-08 17:05:08","104.63.183.89",1758,3362.7667
"2018-01-02 14:39:48","2018-05-31 19:18:34","142.162.30.25",997,3346.6500
"2018-01-02 17:36:07","2018-05-30 23:36:30","64.180.75.84",349,3335.8667
"2018-02-07 13:48:15","2018-05-31 19:06:12","209.15.222.250",1815,3308.5000
"2018-01-01 19:24:05","2018-05-31 19:13:54","204.244.196.60",2478,3292.0333
"2018-01-23 23:36:46","2018-03-22 22:11:35","50.98.60.70",460,3255.7333
"2018-01-02 14:34:33","2018-05-31 19:10:14","216.221.68.179",2188,3251.8333
"2018-01-08 17:27:25","2018-05-28 21:43:37","96.53.50.134",237,3209.9833
"2018-01-02 19:47:43","2018-05-31 17:28:24","69.90.197.100",607,3140.7167
"2018-01-02 17:39:43","2018-05-31 18:42:09","23.16.160.195",1577,3131.7333
"2018-01-02 17:16:23","2018-05-31 16:11:19","174.115.44.157",1102,3076.3833
"2018-01-02 17:25:04","2018-05-31 16:22:02","70.69.228.170",1051,3018.9667
"2018-04-01 14:33:42","2018-05-31 18:37:33","142.166.53.43",2199,3004.3167
"2018-03-02 23:10:59","2018-05-31 17:50:14","184.67.113.82",1010,2976.9667
"2018-01-02 22:05:33","2018-02-07 20:26:15","70.68.250.121",2027,2974.9333
"2018-01-02 15:14:52","2018-05-31 16:50:46","50.246.108.245",1981,2954.1000
"2018-01-02 14:25:52","2018-05-30 21:42:36","162.194.41.117",2592,2940.1500
