,a_saddr,b_saddr,a_saddr_asn,a_saddr_asorg,a_saddr_as_ip,a_saddr_lat,a_saddr_long,b_saddr_asn,b_saddr_asorg,b_saddr_as_ip,b_saddr_lat,b_saddr_long,send_A
1925,3227975506,1676626115,393755,CloudPBX,192.102.255.82,43.6319,-79.3716,812,Rogers Communications Canada Inc.,99.239.72.195,43.0123,-81.2307,False
1937,1654599251,2904575889,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,812,Rogers Communications Canada Inc.,173.32.79.145,47.5986,-52.6926,False
1941,2393990862,1654599251,855,Bell Canada,142.177.102.206,47.5124,-52.6729,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,True
1942,1654599251,2393990862,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,855,Bell Canada,142.177.102.206,47.5124,-52.6729,False
1947,1676535575,1654599251,812,Rogers Communications Canada Inc.,99.237.231.23,47.5986,-52.6926,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,True
1959,3227975507,755177258,393755,CloudPBX,192.102.255.83,43.6319,-79.3716,40788,Start Communications,45.3.23.42,42.9856,-81.1821,False
1979,3638379076,1654599251,7992,Cogeco Cable,216.221.66.68,42.9888,-82.3592,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,True
2006,3227975507,417208698,393755,CloudPBX,192.102.255.83,43.6319,-79.3716,11260,EastLink,24.222.25.122,45.2,-64.1167,False
2023,1676535575,1654599250,812,Rogers Communications Canada Inc.,99.237.231.23,47.5986,-52.6926,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,True
2034,2393257259,1654599250,855,Bell Canada,142.166.53.43,47.5334,-52.7595,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,True
2064,1210478362,3227975507,7992,Cogeco Cable,72.38.111.26,42.2767,-83.0793,393755,CloudPBX,192.102.255.83,43.6319,-79.3716,True
2076,2393257259,1654599251,855,Bell Canada,142.166.53.43,47.5334,-52.7595,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,True
2078,1676738700,3227975506,812,Rogers Communications Canada Inc.,99.241.0.140,44.5168,-80.0164,393755,CloudPBX,192.102.255.82,43.6319,-79.3716,True
2080,2393277605,1654599251,855,Bell Canada,142.166.132.165,45.2308,-66.0953,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,True
2105,2393990862,1654599250,855,Bell Canada,142.177.102.206,47.5124,-52.6729,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,True
2106,1654599250,2393990862,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,855,Bell Canada,142.177.102.206,47.5124,-52.6729,False
2120,3514832870,1654599250,855,Bell Canada,209.128.23.230,47.5167,-52.7833,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,True
