,a_saddr,a_saddr_asn,a_saddr_asorg,a_saddr_lat,a_saddr_long,b_saddr,b_saddr_asn,b_saddr_asorg,b_saddr_lat,b_saddr_long
28867,3227975251,395152,CloudPBX,43.6319,-79.3716,3512272902,852,TELUS Communications Inc.,53.7168,-113.2187
28910,1179163944,6327,Shaw Communications Inc.,50.9819,-114.1004,3227975250,395152,CloudPBX,43.6319,-79.3716
29004,1823230797,852,TELUS Communications Inc.,49.0331,-123.0877,3227975251,395152,CloudPBX,43.6319,-79.3716
29087,3227975250,395152,CloudPBX,43.6319,-79.3716,1178607163,6327,Shaw Communications Inc.,52.0961,-106.6252
29119,3227975251,395152,CloudPBX,43.6319,-79.3716,3478238498,852,TELUS Communications Inc.,49.25,-123.1333
29211,3227975251,395152,CloudPBX,43.6319,-79.3716,3091463342,6327,Shaw Communications Inc.,49.2866,-123.1158
29305,844933399,852,TELUS Communications Inc.,50.1208,-122.9544,3227975251,395152,CloudPBX,43.6319,-79.3716
29565,1179163944,6327,Shaw Communications Inc.,50.9819,-114.1004,3227975251,395152,CloudPBX,43.6319,-79.3716
29585,3091587566,6327,Shaw Communications Inc.,53.5333,-113.9167,3227975250,395152,CloudPBX,43.6319,-79.3716
29619,1823230797,852,TELUS Communications Inc.,49.0331,-123.0877,3227975250,395152,CloudPBX,43.6319,-79.3716
29730,3227975250,395152,CloudPBX,43.6319,-79.3716,3478238498,852,TELUS Communications Inc.,49.25,-123.1333
29731,3497430155,19171,Stargate Connections Inc.,49.2788,-123.1139,3227975251,395152,CloudPBX,43.6319,-79.3716
