,a_saddr,a_saddr_asn,a_saddr_asorg,a_saddr_lat,a_saddr_long,b_saddr,b_saddr_asn,b_saddr_asorg,b_saddr_lat,b_saddr_long
31838,1654599250,395766,CloudPBX,40.7432,-75.2242,3640363090,14007,Skyway West,49.2788,-123.1139
32235,1654599250,395766,CloudPBX,40.7432,-75.2242,855010549,7922,"Comcast Cable Communications, LLC",38.9057,-76.9783
32367,2393257058,855,Bell Canada,47.5334,-52.7595,1654599251,395766,CloudPBX,40.7432,-75.2242
32658,1745319148,7018,"AT&T Services, Inc.",39.8401,-86.0548,1654599251,395766,CloudPBX,40.7432,-75.2242
32962,855405977,7922,"Comcast Cable Communications, LLC",41.7195,-86.2064,1654599250,395766,CloudPBX,40.7432,-75.2242
34196,1654599250,395766,CloudPBX,40.7432,-75.2242,1616866354,7922,"Comcast Cable Communications, LLC",41.8876,-87.6368
35662,2918435450,40191,ZEROFAIL,45.4987,-73.5793,1654599251,395766,CloudPBX,40.7432,-75.2242
35707,1654599251,395766,CloudPBX,40.7432,-75.2242,3514831954,855,Bell Canada,47.5167,-52.7833
35865,1676840295,812,Rogers Communications Canada Inc.,48.9682,-54.5906,1654599250,395766,CloudPBX,40.7432,-75.2242
36827,2393277605,855,Bell Canada,45.2308,-66.0953,1654599250,395766,CloudPBX,40.7432,-75.2242
38946,1749006169,7018,"AT&T Services, Inc.",39.9738,-86.1765,1654599250,395766,CloudPBX,40.7432,-75.2242
41021,1654599250,395766,CloudPBX,40.7432,-75.2242,1096686281,577,Bell Canada,46.7749,-71.3344
41133,2393257380,855,Bell Canada,47.5334,-52.7595,1654599250,395766,CloudPBX,40.7432,-75.2242
41157,2393314888,855,Bell Canada,47.5194,-52.8122,1654599251,395766,CloudPBX,40.7432,-75.2242
42418,3225808030,7992,Cogeco Cable,43.6319,-79.3716,1654599250,395766,CloudPBX,40.7432,-75.2242
